ParameterID,IARCgroup,IARCvolume,dateListed
952,3,"5, Sup 7",1987
953,1,"53, 71, 117",In prep.
956,3,53,1991
965,3,"9, Sup 7",1987
974,3,"53, 73",1999
983,2B,"30, Sup 7, 112",2017 online
988,2B,"60, 82",2002
998,2B,"30, Sup 7",1987
1002,3,53,1991
1014,2A,"Sup 7, 63, 106",2014
1018,3,"15, Sup 7, 71",1999
1028,1,"Sup 7, 63, 106",2014
1034,3,53,1991
1038,2A,"20, Sup 7, 71",1999
1052,2B,"Sup 7, 63",1995
1053,1,"Sup 7, 97, 100F",2012
1059,3,"47, 71",1999
1066,2B,"20, Sup 7, 71, 106",2014
1257,3,"20, Sup 7, 71",1999
1258,3,"52, 71",1999
1265,4,"39, Sup 7, 71",1999
1702,1,"53, 71, 117",In prep.
1703,1,"53, 71, 117",In prep.
1704,1,"53, 71, 117",In prep.
1914,2A,112,2015 online
1974,1,100F,2012
1993,1,"78, 100D",2012
1994,1,"78, 100D",2012
1999,2B,101,2013
2004,2B,"63, 84, 106",2014
2006,2B,101,2013
2007,2B,"63, 84, 106",2014
2014,3,63,1995
300224,3,"40, Sup 7",1987
300245,3,53,1991
300266,1,100F,2012
300267,1,100F,2012
300268,1,100F,2012
300269,1,100F,2012
300270,1,100F,2012
300271,1,100F,2012
300272,1,100F,2012
300273,1,100F,2012
300274,1,100F,2012
300275,1,100F,2012
300276,1,100F,2012
300277,1,100F,2012
300278,1,100F,2012
300279,1,100F,2012
300280,1,100F,2012
300281,1,100F,2012
300282,1,100F,2012
300283,1,100F,2012
300284,1,100F,2012
300285,1,100F,2012
300286,1,100F,2012
300288,1,100F,2012
300289,1,100F,2012
300291,2B,"Sup 7, 92",2010
300293,2A,"Sup 7, 92",2010
300295,2B,101,2013
300318,3,"Sup 7, 92",2010
300322,2B,92,2010
300328,3,92,2010
300329,3,92,2010
300330,3,92,2010
300335,3,92,2010
300336,3,"32, Sup 7, 92",1987
300341,2B,82,2002
300347,2A,"Sup 7, 46, 105",2014
300348,2B,"Sup 7, 46, 105",2013
300349,2B,"46, 105",2013
300365,2B,50,1990
300367,2B,"46, 105",2013
300377,3,"Sup 7, 92",2010
300379,1,100F,2012
300388,3,103,2013
300406,2B,92,2010
300428,2B,92,2010
