recordID,masterParameterID,IRIS_Summary,Iris_ID,Last_Significant_Revision,QuickView
132,566,http://www.epa.gov/iris/subst/0069.htm,69,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0069
133,567,http://www.epa.gov/iris/subst/0369.htm,369,4/1/1992,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0369
134,574,NULL,NULL,NULL,NULL
135,594,http://www.epa.gov/iris/subst/0175.htm,175,3/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0175
136,595,http://www.epa.gov/iris/subst/0436.htm,436,9/17/1998,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0436
137,596,NULL,NULL,NULL,NULL
138,603,NULL,NULL,NULL,NULL
139,611,NULL,NULL,NULL,NULL
140,614,http://www.epa.gov/iris/subst/0082.htm,82,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0082
141,625,NULL,NULL,NULL,NULL
142,635,http://www.epa.gov/iris/subst/0459.htm,459,12/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0459
143,638,http://www.epa.gov/iris/subst/0088.htm,88,9/30/2002,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0088
144,642,NULL,NULL,NULL,NULL
145,643,http://www.epa.gov/iris/subst/0255.htm,255,12/1/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0255
146,644,http://www.epa.gov/iris/subst/0091.htm,91,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0091
147,645,NULL,NULL,NULL,NULL
148,664,NULL,NULL,NULL,NULL
149,665,http://www.epa.gov/iris/subst/0094.htm,94,3/1/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0094
150,666,http://www.epa.gov/iris/subst/0258.htm,258,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0258
151,667,http://www.epa.gov/iris/subst/0095.htm,95,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0095
152,668,http://www.epa.gov/iris/subst/0096.htm,96,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0096
153,670,http://www.epa.gov/iris/subst/0187.htm,187,8/28/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0187
154,671,http://www.epa.gov/iris/subst/0260.htm,260,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0260
155,676,NULL,NULL,NULL,NULL
156,678,http://www.epa.gov/iris/subst/0445.htm,445,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0445
157,688,NULL,NULL,NULL,NULL
158,698,NULL,NULL,NULL,NULL
159,748,http://www.epa.gov/iris/subst/0353.htm,353,9/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0353
160,751,NULL,NULL,NULL,NULL
161,752,http://www.epa.gov/iris/subst/0047.htm,47,8/1/1989,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0047
162,753,NULL,NULL,NULL,NULL
163,754,http://www.epa.gov/iris/subst/0048.htm,48,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0048
164,755,http://www.epa.gov/iris/subst/0232.htm,232,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0232
165,759,http://www.epa.gov/iris/subst/0154.htm,154,3/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0154
166,760,NULL,NULL,NULL,NULL
167,762,http://www.epa.gov/iris/subst/0233.htm,233,8/22/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0233
168,767,NULL,NULL,NULL,NULL
169,768,NULL,NULL,NULL,NULL
170,769,http://www.epa.gov/iris/subst/0363.htm,363,10/1/1989,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0363
171,770,NULL,NULL,NULL,NULL
172,771,NULL,NULL,NULL,NULL
173,773,http://www.epa.gov/iris/subst/0236.htm,236,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0236
174,774,http://www.epa.gov/iris/subst/0237.htm,237,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0237
175,777,http://www.epa.gov/iris/subst/0156.htm,156,9/1/1989,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0156
176,793,NULL,NULL,NULL,NULL
177,798,NULL,NULL,NULL,NULL
178,812,http://www.epa.gov/iris/subst/0065.htm,65,3/1/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0065
179,817,http://www.epa.gov/iris/subst/0243.htm,243,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0243
180,818,http://www.epa.gov/iris/subst/0160.htm,160,1/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0160
181,820,http://www.epa.gov/iris/subst/0374.htm,374,3/1/1991,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0374
182,824,http://www.epa.gov/iris/subst/0338.htm,338,8/22/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0338
183,830,http://www.epa.gov/iris/subst/0246.htm,246,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0246
184,850,http://www.epa.gov/iris/subst/0457.htm,457,3/1/1994,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0457
185,857,http://www.epa.gov/iris/subst/0074.htm,74,10/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0074
186,858,http://www.epa.gov/iris/subst/0075.htm,75,12/1/1993,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0075
187,859,NULL,NULL,NULL,NULL
188,864,http://www.epa.gov/iris/subst/0251.htm,251,10/1/1992,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0251
189,866,http://www.epa.gov/iris/subst/0298.htm,298,9/26/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0298
190,868,NULL,NULL,NULL,NULL
191,908,http://www.epa.gov/iris/subst/0181.htm,181,3/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0181
192,911,NULL,NULL,NULL,NULL
193,917,http://www.epa.gov/iris/subst/0327.htm,327,8/22/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0327
194,919,http://www.epa.gov/iris/subst/0174.htm,174,3/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0174
195,949,NULL,NULL,NULL,NULL
196,950,http://www.epa.gov/iris/subst/0085.htm,85,11/1/1992,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0085
197,952,http://www.epa.gov/iris/subst/0254.htm,254,9/30/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0254
198,953,http://www.epa.gov/iris/subst/0086.htm,86,9/30/2010,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0086
199,956,http://www.epa.gov/iris/subst/0185.htm,185,3/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0185
200,958,NULL,NULL,NULL,NULL
201,964,NULL,NULL,NULL,NULL
202,974,http://www.epa.gov/iris/subst/0263.htm,263,9/1/1993,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0263
203,975,NULL,NULL,NULL,NULL
204,992,http://www.epa.gov/iris/subst/0330.htm,330,9/7/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0330
205,996,NULL,NULL,NULL,NULL
206,997,NULL,NULL,NULL,NULL
207,998,NULL,NULL,NULL,NULL
208,1001,http://www.epa.gov/iris/subst/0264.htm,264,8/22/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0264
209,1005,http://www.epa.gov/iris/subst/0105.htm,105,1/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0105
210,1006,NULL,NULL,NULL,NULL
211,1007,NULL,NULL,NULL,NULL
212,1008,http://www.epa.gov/iris/subst/0285.htm,285,9/26/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0285
213,1013,NULL,NULL,NULL,NULL
214,1017,NULL,NULL,NULL,NULL
215,1019,NULL,NULL,NULL,NULL
216,1023,NULL,NULL,NULL,NULL
217,1026,http://www.epa.gov/iris/subst/0195.htm,195,8/1/1990,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0195
218,1030,NULL,NULL,NULL,NULL
219,1032,NULL,NULL,NULL,NULL
220,1034,http://www.epa.gov/iris/subst/0268.htm,268,7/1/1989,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0268
221,1037,NULL,NULL,NULL,NULL
222,1051,http://www.epa.gov/iris/subst/0201.htm,201,3/31/1987,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0201
223,1250,NULL,NULL,NULL,NULL
224,1264,http://www.epa.gov/iris/subst/0013.htm,13,8/27/2013,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0013
225,1933,NULL,NULL,NULL,NULL
226,1974,http://www.epa.gov/iris/subst/0294.htm,294,10/1/1996,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0294
227,1991,http://www.epa.gov/iris/subst/0145.htm,145,7/1/1993,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0145
228,1992,http://www.epa.gov/iris/subst/0131.htm,131,3/1/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0131
229,300219,NULL,NULL,NULL,NULL
230,300222,NULL,NULL,NULL,NULL
231,300226,http://www.epa.gov/iris/subst/0356.htm,356,9/26/1988,http://cfpub.epa.gov/ncea/iris/index.cfm?fuseaction=iris.showQuickView&substance_nmbr=0356
232,300228,NULL,NULL,NULL,NULL
233,300229,NULL,NULL,NULL,NULL
